# Airnity Geofeed, last updated  2025-11-14
# Self-published geofeed as defined in RFC 8805.
185.17.248.0/24,IN,IN-MH,Mumbai,
213.159.136.100,GB,,,
213.159.136.101,GB,,,
213.159.136.102,GB,,,
213.159.136.103,GB,,,
213.159.136.104,ES,,,
213.159.136.105,ES,,,
213.159.136.106,ES,,,
213.159.136.107,ES,,,
213.159.136.108,DE,,,
213.159.136.109,DE,,,
213.159.136.110,DE,,,
213.159.136.111,DE,,,
213.159.136.112,JP,,,
213.159.136.113,JP,,,
213.159.136.114,DZ,,,
213.159.136.115,EG,,,
213.159.136.116,IN,,,
213.159.136.117,IN,,,
213.159.136.118,IL,,,
213.159.136.119,MA,,,
213.159.136.120,ES,,,
213.159.136.121,DE,,,
213.159.136.122,AT,,,
213.159.136.123,BE,,,
213.159.136.124,BG,,,
213.159.136.125,CH,,,
213.159.136.126,CY,,,
213.159.136.127,CZ,,,
213.159.136.128,DE,,,
213.159.136.129,DK,,,
213.159.136.130,EE,,,
213.159.136.131,ES,,,
213.159.136.132,FI,,,
213.159.136.133,GB,,,
213.159.136.134,SA,,,
213.159.136.135,TN,,,
213.159.136.136,IS,,,
213.159.136.137,GR,,,
213.159.136.138,HU,,,
213.159.136.139,IE,,,
213.159.136.140,IT,,,
213.159.136.141,LU,,,
213.159.136.142,LT,,,
213.159.136.143,LV,,,
213.159.136.144,MD,,,
213.159.136.145,LU,,,
213.159.136.146,MT,,,
213.159.136.147,NL,,,
213.159.136.148,PL,,,
213.159.136.149,PT,,,
213.159.136.150,RE,,,
213.159.136.151,RO,,,
213.159.136.152,RS,,,
213.159.136.153,SE,,,
213.159.136.154,SI,,,
213.159.136.155,SK,,,
213.159.136.156,NO,,,
213.159.136.157,AT,,,
213.159.136.158,BE,,,
213.159.136.159,BG,,,
213.159.136.160,CH,,,
213.159.136.161,CY,,,
213.159.136.162,CZ,,,
213.159.136.163,DE,,,
213.159.136.164,DK,,,
213.159.136.165,EE,,,
213.159.136.166,ES,,,
213.159.136.167,FI,,,
213.159.136.168,GB,,,
213.159.136.169,ES,,,
213.159.136.170,ES,,,
213.159.136.171,IT,,,
213.159.136.172,GR,,,
213.159.136.173,HU,,,
213.159.136.174,IE,,,
213.159.136.175,IT,,,
213.159.136.176,IT,,,
213.159.136.177,LT,,,
213.159.136.178,LV,,,
213.159.136.179,DE,,,
213.159.136.180,DE,,,
213.159.136.181,MT,,,
213.159.136.182,NL,,,
213.159.136.183,PL,,,
213.159.136.184,PT,,,
213.159.136.185,RE,,,
213.159.136.186,RO,,,
213.159.136.187,RS,,,
213.159.136.188,SE,,,
213.159.136.189,SI,,,
213.159.136.190,SK,,,
213.159.136.191,MA,,,
213.159.136.198,MA,,,
213.159.136.0/24,FR,,,
213.159.137.100,AR,,,
213.159.137.101,AR,,,
213.159.137.102,AR,,,
213.159.137.103,CO,,,
213.159.137.104,GF,,,
213.159.137.105,GF,,,
213.159.137.106,GP,,,
213.159.137.107,GP,,,
213.159.137.108,MQ,,,
213.159.137.109,MQ,,,
213.159.137.110,MX,,,
213.159.137.111,PY,,,
213.159.137.112,UY,,,
213.159.137.0/24,US,,,
213.159.138.0/24,BR,,,
213.159.140.100,AU,,,
213.159.140.101,JP,,,
213.159.140.102,JP,,,
213.159.140.103,KR,,,
213.159.140.104,NC,,,
213.159.140.105,IN,,,
213.159.140.106,IN,,,
213.159.140.107,IN,,,
213.159.140.108,IN,,,
213.159.140.109,PF,,,
213.159.140.0/24,SG,,,
###### ipv6 #####
2a0a:d7c0:724::/48,BR,,,
